;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;17.03.2022;01.07.2018;01.07.2018;01.07.2018;01.07.2018;20.04.2018;18.03.2019;17.03.2020;16.03.2021;16.03.2022;13.04.2023;02.04.2024;31.03.2025;;30.10.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;;RUB
P/FCF;;0.00;0.00;4.61;-6.34;17.9;13.6;-48.1;2.07;-2.85;-2.82;-4.53;63.6;4.80;;5.65
P/S;;0.00;0.00;0.35;0.35;0.49;0.69;0.50;0.50;0.72;0.63;0.38;0.39;0.27;;0.24
P/BV;0.00;0.00;0.00;0.31;0.82;1.00;1.25;0.82;0.86;0.80;0.72;0.79;0.81;0.54;;0.49
EV/EBITDA;;2.35;1.63;2.57;4.59;4.13;3.91;3.25;2.40;5.05;7.19;5.24;4.33;3.22;;2.39
Долг/EBITDA;;2.35;1.63;1.15;2.27;1.51;1.01;1.12;0.27;1.52;3.30;3.17;2.40;1.87;;1.21
Персонал, чел;;;;;2 762;;;2 496;2 406;1 426;1 411;1 461;1 506;1 527;;
Производительность труда, млн руб/чел/год;;;;;25.7;;;29.4;27.4;30.9;34.2;34.6;40.4;44.9;;
Расходы/чел/год, тыс.р;;;;;1 550;;;1 518;1 433;1 767;2 013;1 992;2 490;2 842;;
R&D/CAPEX, %;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0
Цена/мощность, руб/кВт;;;;4 883;5 223;5 887;7 345;5 931;6 535;8 089;9 835;8 322;8 856;7 310;;
CAPEX/Выручка, %;;16%;12%;11%;11%;12%;13%;9%;14%;32%;37%;16%;16%;10%;;10%
IR рейтинг;;;;;;;;;;;3.9;;;;;
Качество фин.отчетности;;;;;;;;;;;4;;;;;
Презентации для инвесторов;;;;;;;;;;;4;;;;;
Присутствие на смартлабе;;;;;;;;;;;1;;;;;
Годовой отчет;;;;;;;;;;;5;;;;;
Сайт для инвесторов;;;;;;;;;;;4;;;;;
Календарь инвесторов;;;;;;;;;;;4;;;;;
Обратная связь;;;;;;;;;;;5;;;;;
Дата отчета, 16.03.2022;;;;;;;;;;;;;;;12.02.2026;
Валюта отчета, RUB;;;;;;;;;;;;;;;RUB;
Установленная мощность , ГВт, 5.74;;;;;;;;;;;;;;;;
Установл. тепл. мощность , Гкал/ч, 2 032;;;;;;;;;;;;;;;;
Выработка электроэнергии , ТВт*ч, 22.6;;;;;;;;;;;;;;;24.4;
Отпуск э/э потребителям из сети , млрд кВт*ч, 21.4;;;;;;;;;;;;;;;23.2;
Отпуск тепл.энергии , млн Гкал, 4.05;;;;;;;;;;;;;;;4.12;
Выручка , млрд руб, 48.2;;;;;;;;;;;;;;;81.1;
Операционная прибыль , млрд руб, 3.46;;;;;;;;;;;;;;;18.7;
EBITDA , млрд руб, 7.85;;;;;;;;;;;;;;;23.9;
Чистая прибыль , млрд руб, 2.60;;;;;;;;;;;;;;;10.7;
Опер.денежный поток , млрд руб, 7.18;;;;;;;;;;;;;;;20.4;
CAPEX , млрд руб, 17.9;;;;;;;;;;;;;;;8.11;
FCF , млрд руб, -10.8;;;;;;;;;;;;;;;7.20;
Див доход, ао , %, 0.0%;;;;;;;;;;;;;;;0.0%;
Дивиденды/прибыль , %, 0%;;;;;;;;;;;;;;;0;
Опер. расходы , млрд руб, 45.6;;;;;;;;;;;;;;;63.0;
Амортизация , млрд руб, 3.5;;;;;;;;;;;;;;;5.2;
Расх на персонал , млрд руб, 2.84;;;;;;;;;;;;;;;5.20;
Процентные расходы , млрд руб, 1.90;;;;;;;;;;;;;;;4.56;
Активы , млрд руб, 91.5;;;;;;;;;;;;;;;81.3;
Чистые активы , млрд руб, 43.0;;;;;;;;;;;;;;;45.0;
Долг , млрд руб, 36.2;;;;;;;;;;;;;;;23.1;
Наличность , млрд руб, 10.2;;;;;;;;;;;;;;;3.78;
Чистый долг , млрд руб, 26.0;;;;;;;;;;;;;;;19.4;
Цена акции ао , руб, 0.862;;;;;;;;;;;;;;;0.487;
Число акций ао , млн, 35 372;;;;;;;;;;;;;;;35 372;
Free Float , %, 30.6%;;;;;;;;;;;;;;;18.0%;
Капитализация , млрд руб, 30.5;;;;;;;;;;;;;;;17.2;
EV , млрд руб, 56.4;;;;;;;;;;;;;;;36.6;
Баланс стоимость , млрд руб, 42.3;;;;;;;;;;;;;;;44.7;
EPS , руб, 0.07;;;;;;;;;;;;;;;0.30;
FCF/акцию , руб, -0.31;;;;;;;;;;;;;;;0.20;
BV/акцию , руб, 1.20;;;;;;;;;;;;;;;1.26;
Рентаб EBITDA , %, 16.3%;;;;;;;;;;;;;;;29.5%;
Чистая рентаб , %, 5.4%;;;;;;;;;;;;;;;13.2%;
Доходность FCF , %, -35.5%;;;;;;;;;;;;;;;41.8%;
ROE , %, 6.0%;;;;;;;;;;;;;;;23.8%;
ROA , %, 2.8%;;;;;;;;;;;;;;;13.2%;
P/E, 11.7;;;;;;;;;;;;;;;1.61;
P/FCF, -2.82;;;;;;;;;;;;;;;2.39;
P/S, 0.63;;;;;;;;;;;;;;;0.21;
P/BV, 0.72;;;;;;;;;;;;;;;0.39;
EV/EBITDA, 7.19;;;;;;;;;;;;;;;1.53;
Долг/EBITDA, 3.30;;;;;;;;;;;;;;;0.81;
Персонал , чел, 1 411;;;;;;;;;;;;;;;;
Произв.труда , млн руб/чел/год, 34.2;;;;;;;;;;;;;;;;
Расходы/чел/год , тыс.р, 2 013;;;;;;;;;;;;;;;;
R&D/CAPEX , %, 0.00%;;;;;;;;;;;;;;;0;
Цена/мощность , руб/кВт, 9 835;;;;;;;;;;;;;;;;
CAPEX/Выручка , %, 37%;;;;;;;;;;;;;;;10%;
